,Tên nhà máy,Công suất PLM (MW),Sản lượng (triệu KWh /năm),Khởi công,Hoạt động,Tọa độ,Vị trí xã huyện,Tỉnh
101,Vĩnh Hảo,30.0,,8/2017,6/2019,"11°16′50″B 108°43′59″Đ﻿ / ﻿11,2806°B 108,73295°Đ",xã Vĩnh Hảo huyện Tuy Phong,Bình Thuận
102,Vĩnh Hảo 4,39.0,,2018,6/2019,"11°17′55″B 108°44′01″Đ﻿ / ﻿11,29866°B 108,7336°Đ",xã Vĩnh Hảo huyện Tuy Phong,Bình Thuận
103,Vĩnh Hảo 6,50.0,83.0,10/2018,6/2019,"11°18′23″B 108°45′07″Đ﻿ / ﻿11,30651°B 108,75197°Đ",xã Vĩnh Hảo huyện Tuy Phong,Bình Thuận
104,"Vĩnh Tân 1,2",49.0,79.0,12/2019,6/2019,"11°19′09″B 108°47′55″Đ﻿ / ﻿11,31928°B 108,79848°Đ",xã Vĩnh Tân huyện Tuy Phong,Bình Thuận
105,VSP Bình Thuận 2,30.0,63.0,4/2018,6/2019,"11°17′39″B 108°43′12″Đ﻿ / ﻿11,29411°B 108,71996°Đ",xã Vĩnh Hảo huyện Tuy Phong,Bình Thuận
106,"Lộc Ninh 1,2,3",550.0,88167.0,,12/2020,"11°56′48″B 106°28′16″Đ﻿ / ﻿11,94679°B 106,47106°Đ","xã Lộc Tân, huyện Lộc Ninh",Bình Phước
107,Lộc Ninh 4,162.0,,,12/2020,,"xã Lộc Tân, huyện Lộc Ninh",Bình Phước
108,Lộc Ninh 5,40.0,,,12/2020,,"xã Lộc Tân, huyện Lộc Ninh",Bình Phước
109,Thác Mơ,50.0,78.0,7/2020,12/2020,"11°51′23″B 108°00′57″Đ﻿ / ﻿11,85648°B 108,01583°Đ",P. Thác Mơ Tx. Phước Long và xã Đức Hạnh huyện Bù Gia Mập,Bình Phước
110,Bách Khoa Á Châu 1,30.0,,2018,7/2019,"11°31′16″B 106°13′05″Đ﻿ / ﻿11,52107°B 106,21802°Đ",xã Suối Dây huyện Tân Châu,Tây Ninh
111,"Dầu Tiếng 1, 2",420.0,688.0,2018,6/2019,"11°27′50″B 106°13′00″Đ﻿ / ﻿11,46383°B 106,21671°Đ",hồ Dầu Tiếng ở các huyện Tân Châu và Dương Minh Châu,Tây Ninh [38]
112,Dầu Tiếng 3,150.0,110.0,2019,11/2020,"11°28′41″B 106°12′06″Đ﻿ / ﻿11,47792°B 106,20168°Đ","xã Tân Phú, huyện Tân Châu",Tây Ninh
113,HCG&HTG,100.0,,2018,6/2019,"11°06′07″B 106°09′45″Đ﻿ / ﻿11,10181°B 106,16262°Đ",xã Tiên Thuận và Lợi Thuận huyện Bến Cầu,Tây Ninh
114,Hoàng Thái Gia,50.0,110.0,2018,12/2018,"11°05′55″B 106°11′46″Đ﻿ / ﻿11,09869°B 106,19609°Đ","xã Lợi Thuận, huyện Bến Cầu",Tây Ninh
115,Tân Châu 1,50.0,,2020,10/2020,"11°28′32″B 106°15′37″Đ﻿ / ﻿11,47543°B 106,2603°Đ",xã Tân Thành huyện Tân Châu,Tây Ninh
116,Trí Việt 1,30.0,,2018,7/2019,"11°31′02″B 106°13′18″Đ﻿ / ﻿11,51712°B 106,22165°Đ",xã Suối Dây huyện Tân Châu,Tây Ninh
117,TTC An Hòa 1&2,118.8,184.0,5/2018,6/2019,"11°01′43″B 106°16′53″Đ﻿ / ﻿11,02861°B 106,28139°Đ",xã An Hòa huyện Trảng Bàng,Tây Ninh [39]
118,BCG Băng Dương,40.6,60.0,7/2018,6/2019,"10°36′55″B 106°10′14″Đ﻿ / ﻿10,6154°B 106,17061°Đ",xã Thạnh An huyện Thạnh Hóa,Long An
119,Europlast Long An,50.0,,6/2018,6/2019,"10°56′25″B 106°14′14″Đ﻿ / ﻿10,94038°B 106,23726°Đ",xã Mỹ Thạnh Bắc huyện Đức Huệ,Long An
120,Solar Park 1,50.0,,2/2019,9/2019,"10°46′56″B 106°18′49″Đ﻿ / ﻿10,78228°B 106,31354°Đ",xã Bình Hoà Nam huyện Đức Huệ,Long An
121,Solar Park 2,50.0,,2/2019,6/2019,,xã Bình Hoà Nam huyện Đức Huệ,Long An
122,Solar Park 3,50.0,,2019,7/2020,,xã Bình Hoà Nam huyện Đức Huệ,Long An
123,Solar Park 4,50.0,,2019,8/2020,,xã Bình Hoà Nam huyện Đức Huệ,Long An
124,TTC Đức Huệ 1,49.0,,8/2018,5/2019,"10°56′46″B 106°14′43″Đ﻿ / ﻿10,94624°B 106,24537°Đ",xã Mỹ Thạnh Bắc huyện Đức Huệ,Long An
125,TTC Đức Huệ 2,49.0,,5/2019,2020,"10°54′53″B 106°15′39″Đ﻿ / ﻿10,91468°B 106,26084°Đ",xã Mỹ Thạnh Bắc huyện Đức Huệ,Long An
126,Đá Bạc 1,48.0,9597.0,6/2018,2019,"10°35′10″B 107°16′53″Đ﻿ / ﻿10,5861°B 107,28151°Đ",xã Đá Bạc huyện Châu Đức,Bà Rịa Vũng Tàu
127,Đá Bạc 2,48.0,,6/2018,2019,,xã Đá Bạc huyện Châu Đức,Bà Rịa Vũng Tàu
128,Đá Bạc 3,42.0,,10/2018,2019,,xã Đá Bạc huyện Châu Đức,Bà Rịa Vũng Tàu
129,Đá Bạc 4,42.0,,10/2018,2019,,xã Đá Bạc huyện Châu Đức,Bà Rịa Vũng Tàu
130,Hồ Gia Hoét 1,35.0,,11/2019,8/2020,"10°42′07″B 107°17′20″Đ﻿ / ﻿10,70183°B 107,28892°Đ",xã Quảng Thành huyện Châu Đức,Bà Rịa Vũng Tàu
131,Hồ Tầm Bó,35.0,,11/2019,8/2020,"10°41′57″B 107°15′58″Đ﻿ / ﻿10,69919°B 107,26618°Đ",xã Quảng Thành huyện Châu Đức,Bà Rịa Vũng Tàu
132,KCN Châu Đức,70.0,,7/2018,2019,"10°34′45″B 107°10′53″Đ﻿ / ﻿10,57919°B 107,18127°Đ",KCN Châu Đức huyện Châu Đức,Bà Rịa Vũng Tàu
133,Bình Hòa,10.0,,3/2018,6/2019,"10°27′25″B 105°20′28″Đ﻿ / ﻿10,45697°B 105,34115°Đ","KCN Bình Hòa, huyện Châu Thành",An Giang
134,Sao Mai Solar PV1,210.0,302.0,6/2018,7/2019,"10°28′34″B 105°00′38″Đ﻿ / ﻿10,47612°B 105,01042°Đ",xã An Hảo huyện Tịnh Biên,An Giang [40]
135,Văn Giáo 1,50.0,69.0,8/2018,6/2019,"10°28′12″B 105°00′47″Đ﻿ / ﻿10,46995°B 105,01314°Đ",xã An Cư huyện Tịnh Biên,An Giang
136,Văn Giáo 2,50.0,69.0,8/2018,6/2019,"10°28′12″B 105°00′47″Đ﻿ / ﻿10,46995°B 105,01314°Đ",xã An Cư huyện Tịnh Biên,An Giang
137,VNECO,50.0,,,12/2020,,"xã Trung Nghĩa, huyện Vũng Liêm",Vĩnh Long
138,Hậu Giang,29.0,,6/2020,12/2020,"9°45′34″B 105°37′07″Đ﻿ / ﻿9,75956°B 105,6187°Đ","xã Hòa An, huyện Phụng Hiệp",Hậu Giang [41]
139,Trung Nam Trà Vinh,165.0,250.0,1/2019,12/2019,"9°35′56″B 106°31′33″Đ﻿ / ﻿9,59876°B 106,52573°Đ",xã Dân Thành huyện Duyên Hải,Trà Vinh
140,Cà Mau,50.0,739.0,2018,6/2019,"8°36′41″B 105°00′55″Đ﻿ / ﻿8,61143°B 105,01517°Đ",thị trấn Rạch Gốc huyện Ngọc Hiển,Cà Mau [42]
